portfolio,platform,date,media_type,caption,views,reach,total_plays,avg_watch_sec,likes,comments,shares,saves,permalink,video_id
Rumah Ningrat Subang,Facebook,2026-04-02,CAROUSEL,"Rumah kecil, tapi fungsinya maksimal 🏡✨ Dengan layout yang dirancang fungsional,",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122105708625025251,
Rumah Ningrat Subang,Facebook,2026-04-01,VIDEO,Mau lolos BI Checking biar bisa KPR? 🤔🏡 Ini dia 5 hal penting yang wajib kamu ja,9,9,12,12.3,0,0,0,0,https://www.facebook.com/reel/2023282261587754/,2023282261587754
Rumah Ningrat Subang,Facebook,2026-03-31,CAROUSEL,"Lingkungan nyaman, hidup pun lebih tenang 🏡✨ Dengan sistem cluster gate, keamana",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122105352819025251,
Rumah Ningrat Subang,Facebook,2026-03-29,VIDEO,"Suatu hari nanti… kamu pulang ke rumah sendiri 🏡💛 Bukan soal mewah atau besar,  ",17,17,24,13.2,0,0,0,0,https://www.facebook.com/reel/966007755948797/,966007755948797
Rumah Ningrat Subang,Facebook,2026-03-27,VIDEO,"Hunian nyaman dengan desain modern & fungsional 🏡✨  Area tertata rapi, siap huni",25,21,33,14.2,0,0,0,0,https://www.facebook.com/reel/2682259438818991/,2682259438818991
Rumah Ningrat Subang,Facebook,2026-03-26,CAROUSEL,"Kenapa KPR bisa ditolak? 🤔🏡 Bukan cuma soal gaji, tapi juga banyak faktor lain s",0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122104315803025251,
Rumah Ningrat Subang,Facebook,2026-03-25,VIDEO,Bayangkan pulang ke rumah yang nyaman setiap hari… Dari ruang tamu untuk berkump,41,39,43,5.7,0,0,0,0,https://www.facebook.com/reel/1337019035114807/,1337019035114807
Rumah Ningrat Subang,Facebook,2026-03-25,CAROUSEL,Kenapa rumah subsidi sering cepat habis? 🤔🏡 Banyak yang mikir karena marketingny,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122104011969025251,
Rumah Ningrat Subang,Facebook,2026-03-23,IMAGE,CUMA 100 RIBU SUDAH BISA PUNYA RUMAH?! 😳🏡  Gak perlu nunggu punya tabungan besar,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122103531831025251,
Rumah Ningrat Subang,Facebook,2026-03-22,VIDEO,GAJI 4 JUTA MASIH NGONTRAK? 😳 Padahal kamu SUDAH BISA PUNYA RUMAH! 🏡  💥 Cicilan ,136,134,148,4.9,1,0,0,0,https://www.facebook.com/reel/1839512633396517/,1839512633396517
Rumah Ningrat Subang,Facebook,2026-03-18,CAROUSEL,Kenapa rumah subsidi sering cepat habis? 🤔🏡 Banyak yang mikir karena marketingny,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122100669795025251,
Rumah Ningrat Subang,Facebook,2026-03-17,VIDEO,"Kalau cicilannya setara kontrakan,kenapa tidak sekalian punya rumah?   Tanya uni",38,35,44,6.9,0,0,0,0,https://www.facebook.com/reel/1475643547514202/,1475643547514202
Rumah Ningrat Subang,Facebook,2026-03-16,VIDEO,"Punya rumah ternyata bisa dimulai dari langkah kecil.  Dengan DP mulai 1 juta, k",31,30,34,9.9,0,0,0,0,https://www.facebook.com/reel/2128885947866335/,2128885947866335
Rumah Ningrat Subang,Facebook,2026-03-16,IMAGE,Rumah Ningrat Subang updated their cover photo.,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/1300034895305152?substory_index=1300034895305152,
Rumah Ningrat Subang,Facebook,2026-03-16,IMAGE,Rumah Ningrat Subang updated their profile picture.,0,0,0,0.0,0,0,0,0,https://www.facebook.com/122105724651025251/posts/122098438839025251?substory_index=2153505072108047,
